,Día de la semana,Electricidad (kW),Fotovoltaica (kW),Refrigeración (kW),Calefacción (kWh),Energía total (kWh),Temperatura (°C),Punto de rocío (°C),Humedad (%),Velocidad del viento (m/s),Presión (hPa),Ráfaga de viento (m/s)
2014-03-24,0,588920.3,111752.45,577854.0027,72784.18285,1239558.48555,23.35648148148148,-1.8518518518518519,21.041666666666668,2.1048133333333334,973.925764,0.0
2014-03-25,1,588148.21,105344.5,596458.51066,67541.14266000001,1252147.86332,23.865740740740744,-1.9212962962962965,19.333333333333332,2.9802666666666666,969.142488125,9.38784
2014-03-26,2,601453.0994117646,108598.11352941177,554640.3007341176,72851.76157470589,1228945.1617205883,21.412037037037038,0.30092592592592593,25.416666666666668,5.923279999999999,967.3364134583334,13.85824
2014-03-27,3,620915.2305882353,180411.78647058824,539207.8247258824,58936.40570529412,1219059.4610194117,18.51851851851852,2.1527777777777777,34.666666666666664,2.7008666666666667,971.8798200416667,8.04672
2014-03-28,4,592408.22,113830.57,488279.28351,79855.98608,1160543.48959,20.069444444444446,-0.9027777777777777,26.291666666666668,2.086186666666667,976.5219963333334,7.59968
2014-03-29,5,529527.11,118454.41,507077.12096,70205.15805,1106809.38901,22.453703703703706,-1.8287037037037035,22.666666666666668,2.086186666666667,975.6471789166667,0.0
2014-03-30,6,536622.19,73310.52,486594.99221,70838.19141,1094055.37362,21.89814814814815,-2.8703703703703702,20.208333333333332,4.191,970.7086935000001,12.51712
2014-03-31,0,581707.1,123469.37,529466.55398,83035.80643000001,1194209.46041,21.597222222222225,-7.407407407407407,16.541666666666668,3.9488533333333335,971.8657100833334,10.28192
2014-04-01,1,611974.43,127749.83,514248.60049,87724.94243000001,1213947.97292,20.694444444444446,-5.694444444444444,18.625,4.86156,970.2289549166667,11.62304
2014-04-02,2,610209.66,109620.11,391152.79158,108916.90644,1110279.35802,16.921296296296298,-2.0833333333333335,28.041666666666668,4.91744,970.8074632083334,12.51712
2014-04-03,3,614238.96,142382.5,376860.86419,86373.88512,1077473.70931,16.89814814814815,-2.7314814814814814,28.208333333333332,2.086186666666667,975.1533303749999,0.0
2014-04-04,4,597491.23,127728.76,428663.9178,86546.79701000001,1112701.94481,19.35185185185185,-5.902777777777779,21.083333333333332,2.6449866666666666,971.4706312499999,0.0
2014-04-05,5,527890.6,139382.23,434731.4462,76723.05709,1039345.10329,20.53240740740741,-6.5740740740740735,16.25,3.2037866666666672,969.2130379166666,10.72896
